Dates,Name,Total Current Assets,Total Current Liabilities,Operating Income,Total Revenue,Free Cash Flow over last 4 years,Buy
2023-05-31,ORCL,21004000000.0,23090000000.0,13773000000.0,49954000000.0,8470000000.0,0
2022-05-31,ORCL,31633000000.0,19511000000.0,15830000000.0,42440000000.0,5028000000.0,0
2021-05-31,ORCL,55567000000.0,24164000000.0,15782000000.0,40479000000.0,13752000000.0,0
2021-08-31,COST,29505000000.0,29441000000.0,6708000000.0,195929000000.0,5370000000.0,0
2022-08-31,COST,32696000000.0,31998000000.0,7793000000.0,226954000000.0,3501000000.0,0
2023-08-31,COST,35879000000.0,33583000000.0,8114000000.0,242290000000.0,6745000000.0,0
2024-08-31,COST,34246000000.0,35464000000.0,9285000000.0,254453000000.0,6629000000.0,0
2023-11-30,ADBE,11084000000.0,8251000000.0,6650000000.0,19409000000.0,6942000000.0,0
2022-11-30,ADBE,8996000000.0,8128000000.0,6098000000.0,17606000000.0,7396000000.0,0
2021-11-30,ADBE,8669000000.0,6932000000.0,5802000000.0,15785000000.0,6882000000.0,0
2020-11-30,ADBE,8146000000.0,5512000000.0,4237000000.0,12868000000.0,5308000000.0,0
2023-12-31,NFLX,9918133000.0,8860655000.0,6954003000.0,33723297000.0,6925749000.0,0
2022-12-31,NFLX,9266473000.0,7930974000.0,5632831000.0,31615550000.0,1618528000.0,0
2021-12-31,NFLX,8069825000.0,8488966000.0,6194509000.0,29697844000.0,-131975000.0,0
2020-12-31,NFLX,9761580000.0,7805785000.0,4585289000.0,24996056000.0,1929154000.0,0
2020-12-31,CVX,26078000000.0,22183000000.0,-6097000000.0,94471000000.0,1655000000.0,0
2021-12-31,CVX,33738000000.0,26791000000.0,16180000000.0,155606000000.0,21131000000.0,0
2022-12-31,CVX,50343000000.0,34208000000.0,39950000000.0,235717000000.0,37628000000.0,0
2023-12-31,CVX,41128000000.0,32258000000.0,26229000000.0,196913000000.0,19780000000.0,0
2023-12-31,AMD,16768000000.0,6689000000.0,401000000.0,22680000000.0,1121000000.0,0
2022-12-31,AMD,15019000000.0,6369000000.0,1264000000.0,23601000000.0,3115000000.0,0
2021-12-31,AMD,8583000000.0,4240000000.0,3648000000.0,16434000000.0,3220000000.0,0
2020-12-31,AMD,6143000000.0,2417000000.0,1369000000.0,9763000000.0,777000000.0,0
